date,state,cases_avg,deaths_avg
2020-04-11,Washington,389.71,25.71
2020-04-11,Virginia,381.14,14.5
2020-04-11,Vermont,35.71,0.57
2020-04-11,Utah,111.71,1.43
2020-04-11,Texas,948.86,20.14
2020-04-11,Tennessee,245.43,8.57
2020-04-11,South Dakota,59.14,0.57
2020-04-11,South Carolina,184.29,5.71
2020-04-11,Rhode Island,220.43,5.57
2020-04-11,Pennsylvania,1666.29,53.57
2020-04-11,Oregon,63.86,3.57
2020-04-11,Oklahoma,101.29,7.29
2020-04-11,Ohio,358.86,20.71
2020-04-11,North Dakota,15.29,0.57
2020-04-11,North Carolina,272.57,8
2020-04-11,New York,9575.29,946.29
2020-04-11,New Mexico,90,1.29
2020-04-11,New Jersey,3432.43,190.86
2020-04-11,New Hampshire,44,2
2020-04-11,Nevada,137.43,9.29
2020-04-11,Nebraska,54.14,1.43
2020-04-11,Montana,13.71,0
2020-04-11,Missouri,247.57,10.29
2020-04-11,Mississippi,169.57,8.29
2020-04-11,Minnesota,80.29,5.71
2020-04-11,Michigan,1375.71,122
2020-04-11,Massachusetts,1589.14,67.14
2020-04-11,Maryland,652.71,21.86
2020-04-11,Maine,22.86,1.29
2020-04-11,Louisiana,1073.43,56.29
2020-04-11,Kentucky,134.57,7.71
2020-04-11,Kansas,82.86,4.86
2020-04-11,Iowa,103.43,3.29
2020-04-11,Indiana,502.71,36.14
2020-04-11,Illinois,1260.43,62
2020-04-11,Idaho,51.71,2.43
2020-04-11,Hawaii,19.29,0.71
2020-04-11,Georgia,839.71,32
2020-04-11,Florida,1063,35.86
2020-04-11,District of Columbia,125.14,3.71
2020-04-11,Delaware,126.57,2.71
2020-04-11,Connecticut,890.57,47
2020-04-11,Colorado,331.29,21.14
2020-04-11,California,1232.14,44.14
2020-04-11,Arkansas,69.29,1.57
2020-04-11,Arizona,196.29,8.43
2020-04-11,Alaska,12.29,0.43
2020-04-11,Alabama,232.86,7
2020-04-12,Northern Mariana Islands,0.43,0.14
2020-04-12,Guam,64.43,0.14
2020-04-12,Puerto Rico,60.29,3.43
2020-04-12,Virgin Islands,1.29,0.14
2020-04-12,Wyoming,15.17,0
2020-04-12,Wisconsin,153.43,10.29
2020-04-12,West Virginia,41.43,0.71
2020-04-12,Washington,347,23.86
2020-04-12,Virginia,376.71,16.33
2020-04-12,Vermont,30.71,0.57
2020-04-12,Utah,98.14,1.43
2020-04-12,Texas,951.29,21.71
2020-04-12,Tennessee,229.43,8.14
2020-04-12,South Dakota,69.86,0.57
2020-04-12,South Carolina,181.43,5.43
2020-04-12,Rhode Island,249,5.43
2020-04-12,Pennsylvania,1623.57,52.29
2020-04-12,Oregon,65.57,3.57
2020-04-12,Oklahoma,102.71,7.14
2020-04-12,Ohio,366,19.14
2020-04-12,North Dakota,14.43,0.71
2020-04-12,North Carolina,276.43,7
2020-04-12,New York,9620,968.71
2020-04-12,New Mexico,88.71,2
2020-04-12,New Jersey,3477.86,204.71
2020-04-12,New Hampshire,45.14,2
2020-04-12,Nevada,140,9.57
2020-04-12,Nebraska,61.14,1.43
2020-04-12,Montana,12.71,0
2020-04-12,Missouri,256.14,9.14
2020-04-12,Mississippi,163.29,7.57
2020-04-12,Minnesota,98,5.86
2020-04-12,Michigan,1266.14,124.43
2020-04-12,Massachusetts,1853.57,75
2020-04-12,Maryland,659.43,24
2020-04-12,Maine,23.29,1.29
2020-04-12,Louisiana,1083,51.86
2020-04-12,Kentucky,130.71,7.71
2020-04-12,Kansas,81.14,4.71
2020-04-12,Iowa,102.71,2.71
2020-04-12,Indiana,507.57,36.29
2020-04-12,Illinois,1368,63.43
2020-04-12,Idaho,51,2.43
2020-04-12,Hawaii,18.29,0.71
2020-04-12,Georgia,919.83,31.29
2020-04-12,Florida,1073.29,34.29
2020-04-12,District of Columbia,125.29,4
2020-04-12,Delaware,136,3
2020-04-12,Connecticut,908.57,52.14
2020-04-12,Colorado,336.14,21.43
2020-04-12,California,1160.14,46.43
2020-04-12,Arkansas,61,1.57
2020-04-12,Arizona,181.43,7.57
2020-04-12,Alaska,12.43,0.29
2020-04-12,Alabama,249,6.86
2020-04-13,Northern Mariana Islands,0.43,0.14
2020-04-13,Guam,64.71,0.29
2020-04-13,Puerto Rico,55.71,3.43
2020-04-13,Virgin Islands,1,0
2020-04-13,Wyoming,14.5,0.14
2020-04-13,Wisconsin,141.14,10.29
2020-04-13,West Virginia,41.57,0.71
2020-04-13,Washington,308.86,20.29
2020-04-13,Virginia,409.86,17.33
2020-04-13,Vermont,29.29,0.57
2020-04-13,Utah,100.86,0.71
